"Source","Target","論文ID","論文タイトル","所属1","所属2","発行日","テスト1","テスト2","テスト3"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-024-01612-6","A non-FRET DNA reporter that changes fluorescence colour upon nuclease digestion","","","2024/11/24","10","82.9","78.3"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-024-01606-4","Engineering colloidal semiconductor nanocrystals for quantum information processing","","","2024/03/13","10","92.3","75.6"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-024-01606-4","Engineering colloidal semiconductor nanocrystals for quantum information processing","","","2024/03/13","10","92.3","75.6"
"1 材料合成・薄膜形成","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-024-01606-4","Engineering colloidal semiconductor nanocrystals for quantum information processing","","","2024/03/13","10","92.3","75.6"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-024-01696-0","Regioselective epitaxial growth of metallic heterostructures","","","2023/04/22","10","58.9","77.1"
"4 金属・合金・ナノ粒子・触媒材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-024-01696-0","Regioselective epitaxial growth of metallic heterostructures","","","2023/04/22","10","58.9","77.1"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-024-01696-0","Regioselective epitaxial growth of metallic heterostructures","","","2023/04/22","10","58.9","77.1"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-024-01722-1","Oral administration of garlic-derived nanoparticles improves cancer immunotherapy by inducing intestinal IFNγ-producing γδ T cells","","","2021/07/16","10","39.1","79"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01722-1","Oral administration of garlic-derived nanoparticles improves cancer immunotherapy by inducing intestinal IFNγ-producing γδ T cells","","","2021/07/16","10","39.1","79"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01722-1","Oral administration of garlic-derived nanoparticles improves cancer immunotherapy by inducing intestinal IFNγ-producing γδ T cells","","","2021/07/16","10","39.1","79"
"10 インフォマティクス・AI・データ科学・レビュー・社会・教育・人材等","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-024-01726-x","Co-transcriptional production of programmable RNA condensates and synthetic organelles","","","2021/07/10","10","37.4","93.8"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","12 DNA/RNA・分子ナノテク・バイオナノデバイス","https://doi.org/10.1038/s41565-024-01726-x","Co-transcriptional production of programmable RNA condensates and synthetic organelles","","","2021/07/10","10","37.4","93.8"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","9 ナノ粒子/ナノ構造・表面/界面・自己組織化","https://doi.org/10.1038/s41565-024-01726-x","Co-transcriptional production of programmable RNA condensates and synthetic organelles","","","2021/07/10","10","37.4","93.8"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-024-01758-3","Metal-ion-chelating phenylalanine nanostructures reverse immune dysfunction and sensitize breast tumour to immune checkpoint blockade","","","2023/06/08","10","98.2","3.1"
"14 その他（複合材料・特殊構造体等）","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01758-3","Metal-ion-chelating phenylalanine nanostructures reverse immune dysfunction and sensitize breast tumour to immune checkpoint blockade","","","2023/06/08","10","98.2","3.1"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01758-3","Metal-ion-chelating phenylalanine nanostructures reverse immune dysfunction and sensitize breast tumour to immune checkpoint blockade","","","2023/06/08","10","98.2","3.1"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-024-01747-6","Combinatorial design of siloxane-incorporated lipid nanoparticles augments intracellular processing for tissue-specific mRNA therapeutic delivery","","","2020/03/30","10","74.2","26.3"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01747-6","Combinatorial design of siloxane-incorporated lipid nanoparticles augments intracellular processing for tissue-specific mRNA therapeutic delivery","","","2020/03/30","10","74.2","26.3"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01747-6","Combinatorial design of siloxane-incorporated lipid nanoparticles augments intracellular processing for tissue-specific mRNA therapeutic delivery","","","2020/03/30","10","74.2","26.3"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-024-01805-z","Tunable topological phases in nanographene-based spin-1/2 alternating-exchange Heisenberg chains","","","2023/05/16","10","88.3","68"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-024-01805-z","Tunable topological phases in nanographene-based spin-1/2 alternating-exchange Heisenberg chains","","","2023/05/16","10","88.3","68"
"10 マルチモーダル・複合的解析・統合手法","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-024-01805-z","Tunable topological phases in nanographene-based spin-1/2 alternating-exchange Heisenberg chains","","","2023/05/16","10","88.3","68"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-024-01845-5","Dipolar wavevector interference induces a polar skyrmion lattice in strained BiFeO3 films","","","2020/03/07","10","19.5","2.2"
"11 セラミックス・酸化物・誘電体・光学材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-024-01845-5","Dipolar wavevector interference induces a polar skyrmion lattice in strained BiFeO3 films","","","2020/03/07","10","19.5","2.2"
"10 マルチモーダル・複合的解析・統合手法","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-024-01845-5","Dipolar wavevector interference induces a polar skyrmion lattice in strained BiFeO3 films","","","2020/03/07","10","19.5","2.2"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-025-01870-y","Intracellular dehydrogenation catalysis leads to reductive stress and immunosuppression","","","2022/01/18","10","4.6","14.1"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-025-01870-y","Intracellular dehydrogenation catalysis leads to reductive stress and immunosuppression","","","2022/01/18","10","4.6","14.1"
"9 化学反応・触媒・電気化学的評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-025-01870-y","Intracellular dehydrogenation catalysis leads to reductive stress and immunosuppression","","","2022/01/18","10","4.6","14.1"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-024-01847-3","Nature-inspired platform nanotechnology for RNA delivery to myeloid cells and their bone marrow progenitors","","","2022/07/12","10","79.2","83.8"
"6 リポソーム・LNP・バイオナノ材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-024-01847-3","Nature-inspired platform nanotechnology for RNA delivery to myeloid cells and their bone marrow progenitors","","","2022/07/12","10","79.2","83.8"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01847-3","Nature-inspired platform nanotechnology for RNA delivery to myeloid cells and their bone marrow progenitors","","","2022/07/12","10","79.2","83.8"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-025-01866-8","Molecular-scale CO spillover on a dual-site electrocatalyst enhances methanol production from CO2 reduction","","","2020/09/01","10","44","33.9"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-025-01866-8","Molecular-scale CO spillover on a dual-site electrocatalyst enhances methanol production from CO2 reduction","","","2020/09/01","10","44","33.9"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-025-01866-8","Molecular-scale CO spillover on a dual-site electrocatalyst enhances methanol production from CO2 reduction","","","2020/09/01","10","44","33.9"
"2 デバイス・機能材料の設計・開発・動作・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-024-01833-9","Chemistry, manufacturing and controls strategies for using novel excipients in lipid nanoparticles","","","2022/05/19","10","3","96.2"
"6 リポソーム・LNP・バイオナノ材料","14 マイクロ・ナノ流体・組織・細胞操作手法","https://doi.org/10.1038/s41565-024-01833-9","Chemistry, manufacturing and controls strategies for using novel excipients in lipid nanoparticles","","","2022/05/19","10","3","96.2"
"14 マイクロ・ナノ流体・組織・細胞操作手法","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01833-9","Chemistry, manufacturing and controls strategies for using novel excipients in lipid nanoparticles","","","2022/05/19","10","3","96.2"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-024-01848-2","Salt-in-presalt electrolyte solutions for high-potential non-aqueous sodium metal batteries","","","2020/05/26","10","28.2","12.8"
"9 バッテリー材料・電極・電解質","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-024-01848-2","Salt-in-presalt electrolyte solutions for high-potential non-aqueous sodium metal batteries","","","2020/05/26","10","28.2","12.8"
"9 化学反応・触媒・電気化学的評価","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-024-01848-2","Salt-in-presalt electrolyte solutions for high-potential non-aqueous sodium metal batteries","","","2020/05/26","10","28.2","12.8"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-025-01877-5","The pathways for nanoparticle transport across tumour endothelium","","","2025/04/19","10","19","3.4"
"4 金属・合金・ナノ粒子・触媒材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-025-01877-5","The pathways for nanoparticle transport across tumour endothelium","","","2025/04/19","10","19","3.4"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-025-01877-5","The pathways for nanoparticle transport across tumour endothelium","","","2025/04/19","10","19","3.4"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-025-01892-6","Zeolite-confined Cu single-atom clusters stably catalyse CO to acetate at 1 A cm−2 beyond 1,000 h","","","2021/02/26","10","87.5","71.1"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-025-01892-6","Zeolite-confined Cu single-atom clusters stably catalyse CO to acetate at 1 A cm−2 beyond 1,000 h","","","2021/02/26","10","87.5","71.1"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-025-01892-6","Zeolite-confined Cu single-atom clusters stably catalyse CO to acetate at 1 A cm−2 beyond 1,000 h","","","2021/02/26","10","87.5","71.1"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-025-01858-8","Spin–valley protected Kramers pair in bilayer graphene","","","2021/07/15","10","90.5","3.8"
"1 二次元材料・層状材料・グラフェン・TMDs関連","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-025-01858-8","Spin–valley protected Kramers pair in bilayer graphene","","","2021/07/15","10","90.5","3.8"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-025-01858-8","Spin–valley protected Kramers pair in bilayer graphene","","","2021/07/15","10","90.5","3.8"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-024-01851-7","Customizable virus-like particles deliver CRISPR–Cas9 ribonucleoprotein for effective ocular neovascular and Huntington’s disease gene therapy","","","2024/05/09","10","31.5","95.6"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01851-7","Customizable virus-like particles deliver CRISPR–Cas9 ribonucleoprotein for effective ocular neovascular and Huntington’s disease gene therapy","","","2024/05/09","10","31.5","95.6"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01851-7","Customizable virus-like particles deliver CRISPR–Cas9 ribonucleoprotein for effective ocular neovascular and Huntington’s disease gene therapy","","","2024/05/09","10","31.5","95.6"
"12 DNA/RNA/タンパク質等 生体分子・バイオ材料のナノスケール操作・計測・応用","7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","https://doi.org/10.1038/s41565-025-01879-3","Genetic encoding and expression of RNA origami cytoskeletons in synthetic cells","","","2025/03/27","10","10.2","65.6"
"7 DNAオリガミ・核酸ナノ構造・DNA/RNAデバイス","12 DNA/RNA・分子ナノテク・バイオナノデバイス","https://doi.org/10.1038/s41565-025-01879-3","Genetic encoding and expression of RNA origami cytoskeletons in synthetic cells","","","2025/03/27","10","10.2","65.6"
"12 DNA/RNA・分子ナノテク・バイオナノデバイス","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-025-01879-3","Genetic encoding and expression of RNA origami cytoskeletons in synthetic cells","","","2025/03/27","10","10.2","65.6"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","10 磁性材料・スピントロニクス・強磁性/反強磁性材料","https://doi.org/10.1038/s41565-024-01827-7","Ferrimagnetic Heusler tunnel junctions with fast spin-transfer torque switching enabled by low magnetization","","","2023/11/24","10","84.4","94.2"
"10 磁性材料・スピントロニクス・強磁性/反強磁性材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-024-01827-7","Ferrimagnetic Heusler tunnel junctions with fast spin-transfer torque switching enabled by low magnetization","","","2023/11/24","10","84.4","94.2"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-024-01827-7","Ferrimagnetic Heusler tunnel junctions with fast spin-transfer torque switching enabled by low magnetization","","","2023/11/24","10","84.4","94.2"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-024-01852-6","Multivalent-effect immobilization of reduced-dimensional perovskites for efficient and spectrally stable deep-blue light-emitting diodes","","","2025/09/16","10","96.5","69.2"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-024-01852-6","Multivalent-effect immobilization of reduced-dimensional perovskites for efficient and spectrally stable deep-blue light-emitting diodes","","","2025/09/16","10","96.5","69.2"
"1 材料合成・薄膜形成","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-024-01852-6","Multivalent-effect immobilization of reduced-dimensional perovskites for efficient and spectrally stable deep-blue light-emitting diodes","","","2025/09/16","10","96.5","69.2"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-025-01862-y","Resolving polarization switching pathways of sliding ferroelectricity in trilayer 3R-MoS2","","","2022/07/07","10","51.6","57.7"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-025-01862-y","Resolving polarization switching pathways of sliding ferroelectricity in trilayer 3R-MoS2","","","2022/07/07","10","51.6","57.7"
"10 マルチモーダル・複合的解析・統合手法","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-025-01862-y","Resolving polarization switching pathways of sliding ferroelectricity in trilayer 3R-MoS2","","","2022/07/07","10","51.6","57.7"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-025-01857-9","Tandem-controlled lysosomal assembly of nanofibres induces pyroptosis for cancer immunotherapy","","","2023/09/05","10","65.9","2.4"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-025-01857-9","Tandem-controlled lysosomal assembly of nanofibres induces pyroptosis for cancer immunotherapy","","","2023/09/05","10","65.9","2.4"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-025-01857-9","Tandem-controlled lysosomal assembly of nanofibres induces pyroptosis for cancer immunotherapy","","","2023/09/05","10","65.9","2.4"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-025-01881-9","Nanoscale high-entropy surface engineering promotes selective glycerol electro-oxidation to glycerate at high current density","","","2020/02/02","10","79.7","29.3"
"4 金属・合金・ナノ粒子・触媒材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-025-01881-9","Nanoscale high-entropy surface engineering promotes selective glycerol electro-oxidation to glycerate at high current density","","","2020/02/02","10","79.7","29.3"
"10 マルチモーダル・複合的解析・統合手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-025-01881-9","Nanoscale high-entropy surface engineering promotes selective glycerol electro-oxidation to glycerate at high current density","","","2020/02/02","10","79.7","29.3"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-025-01905-4","Homogeneous 2D/3D heterostructured tin halide perovskite photovoltaics","","","2022/04/26","10","2.8","51.9"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-025-01905-4","Homogeneous 2D/3D heterostructured tin halide perovskite photovoltaics","","","2022/04/26","10","2.8","51.9"
"10 マルチモーダル・複合的解析・統合手法","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-025-01905-4","Homogeneous 2D/3D heterostructured tin halide perovskite photovoltaics","","","2022/04/26","10","2.8","51.9"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-024-01830-y","Measuring age-dependent viscoelasticity of organelles, cells and organisms with time-shared optical tweezer microrheology","","","2021/04/20","10","46.9","77.5"
"14 その他（複合材料・特殊構造体等）","14 マイクロ・ナノ流体・組織・細胞操作手法","https://doi.org/10.1038/s41565-024-01830-y","Measuring age-dependent viscoelasticity of organelles, cells and organisms with time-shared optical tweezer microrheology","","","2021/04/20","10","46.9","77.5"
"14 マイクロ・ナノ流体・組織・細胞操作手法","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-024-01830-y","Measuring age-dependent viscoelasticity of organelles, cells and organisms with time-shared optical tweezer microrheology","","","2021/04/20","10","46.9","77.5"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-025-01860-0","A bioinspired polymeric membrane-enclosed insulin crystal achieves long-term, self-regulated drug release for type 1 diabetes therapy","","","2024/08/04","10","88.1","17.2"
"5 ポリマー・高分子・有機材料・有機半導体","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-025-01860-0","A bioinspired polymeric membrane-enclosed insulin crystal achieves long-term, self-regulated drug release for type 1 diabetes therapy","","","2024/08/04","10","88.1","17.2"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-025-01860-0","A bioinspired polymeric membrane-enclosed insulin crystal achieves long-term, self-regulated drug release for type 1 diabetes therapy","","","2024/08/04","10","88.1","17.2"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-025-01890-8","Exciton dressing by extreme nonlinear magnons in a layered semiconductor","","","2020/01/28","10","4.3","51.2"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-025-01890-8","Exciton dressing by extreme nonlinear magnons in a layered semiconductor","","","2020/01/28","10","4.3","51.2"
"10 マルチモーダル・複合的解析・統合手法","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-025-01890-8","Exciton dressing by extreme nonlinear magnons in a layered semiconductor","","","2020/01/28","10","4.3","51.2"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-025-01888-2","Time-resolved sensing of electromagnetic fields with single-electron interferometry","","","2025/04/02","10","33.3","96.6"
"8 メモリ・電子デバイス・半導体素子","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-025-01888-2","Time-resolved sensing of electromagnetic fields with single-electron interferometry","","","2025/04/02","10","33.3","96.6"
"5 電気・電子・磁気・光学的測定","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-025-01888-2","Time-resolved sensing of electromagnetic fields with single-electron interferometry","","","2025/04/02","10","33.3","96.6"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-025-01894-4","Enhanced Majorana stability in a three-site Kitaev chain","","","2020/04/20","10","99.3","51.1"
"8 メモリ・電子デバイス・半導体素子","6 シミュレーション・理論・データ駆動型手法","https://doi.org/10.1038/s41565-025-01894-4","Enhanced Majorana stability in a three-site Kitaev chain","","","2020/04/20","10","99.3","51.1"
"6 シミュレーション・理論・データ駆動型手法","7 バンドギャップ・励起子・光キャリア等の物理パラメータ","https://doi.org/10.1038/s41565-025-01894-4","Enhanced Majorana stability in a three-site Kitaev chain","","","2020/04/20","10","99.3","51.1"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-025-01882-8","Inversion of supramolecular chirality by photo-enhanced secondary nucleation","","東北大","2022/10/19","10","69.1","39.4"
"5 ポリマー・高分子・有機材料・有機半導体","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-025-01882-8","Inversion of supramolecular chirality by photo-enhanced secondary nucleation","","東北大","2022/10/19","10","69.1","39.4"
"10 マルチモーダル・複合的解析・統合手法","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-025-01882-8","Inversion of supramolecular chirality by photo-enhanced secondary nucleation","","東北大","2022/10/19","10","69.1","39.4"
"2 デバイス・機能材料の設計・開発・動作・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-025-01899-z","Piracetam shapes wide-bandgap perovskite crystals for scalable perovskite tandems","","","2024/06/26","10","50.7","25.5"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-025-01899-z","Piracetam shapes wide-bandgap perovskite crystals for scalable perovskite tandems","","","2024/06/26","10","50.7","25.5"
"1 材料合成・薄膜形成","15 多機能・複合・システム・統合評価","https://doi.org/10.1038/s41565-025-01899-z","Piracetam shapes wide-bandgap perovskite crystals for scalable perovskite tandems","","","2024/06/26","10","50.7","25.5"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-020-0703-8","Birefringence-like spin transport via linearly polarized antiferromagnetic magnons","","","2022/01/26","10","81.4","84.3"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-020-0703-8","Birefringence-like spin transport via linearly polarized antiferromagnetic magnons","","","2022/01/26","10","81.4","84.3"
"10 マルチモーダル・複合的解析・統合手法","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-020-0703-8","Birefringence-like spin transport via linearly polarized antiferromagnetic magnons","","","2022/01/26","10","81.4","84.3"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-020-0749-7","Visualizing the growth process of sodium microstructures in sodium batteries by in-situ 23Na MRI and NMR spectroscopy","","","2023/07/20","10","14.5","21.6"
"9 バッテリー材料・電極・電解質","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-020-0749-7","Visualizing the growth process of sodium microstructures in sodium batteries by in-situ 23Na MRI and NMR spectroscopy","","","2023/07/20","10","14.5","21.6"
"4 分光・物性評価・組成/化学分析","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-020-0749-7","Visualizing the growth process of sodium microstructures in sodium batteries by in-situ 23Na MRI and NMR spectroscopy","","","2023/07/20","10","14.5","21.6"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-020-00776-1","Advanced material modulation of nutritional and phytohormone status alleviates damage from soybean sudden death syndrome","","","2021/11/14","10","56.7","58"
"4 金属・合金・ナノ粒子・触媒材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-020-00776-1","Advanced material modulation of nutritional and phytohormone status alleviates damage from soybean sudden death syndrome","","","2021/11/14","10","56.7","58"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-00776-1","Advanced material modulation of nutritional and phytohormone status alleviates damage from soybean sudden death syndrome","","","2021/11/14","10","56.7","58"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","3 カーボンナノ材料（CNT、カーボンドット等）","https://doi.org/10.1038/s41565-020-00777-0","Multifunctional nanocoated membranes for high-rate electrothermal desalination of hypersaline waters","","","2020/12/26","10","3.4","0.2"
"3 カーボンナノ材料（CNT、カーボンドット等）","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-020-00777-0","Multifunctional nanocoated membranes for high-rate electrothermal desalination of hypersaline waters","","","2020/12/26","10","3.4","0.2"
"9 化学反応・触媒・電気化学的評価","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-020-00777-0","Multifunctional nanocoated membranes for high-rate electrothermal desalination of hypersaline waters","","","2020/12/26","10","3.4","0.2"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-020-0679-4","Programmable multistage drug delivery to lymph nodes","","","2021/11/19","10","9.6","41.2"
